Start time,End time,Language code,Confidence,Channel,Speaker tag,Transcript
213.900,216.300,en-us,0.86186,,1," Oh, yeah, absolutely. Everybody feels a little bit of the pain."
216.300,220.900,en-us,0.86186,,2," Absolutely and I told me in advance like yeah, there's some of the things that we delete we're going to put back in."
223.000,229.300,en-us,0.90116,,2," people get a little shocked by that but it makes sense because if you if you're so conservative as to"
230.800,234.800,en-us,0.99270,,2," never have to put anything back in you obviously have a lot of stuff that isn't needed."
236.200,241.100,en-us,0.91899,,2," So you got over correct? This is I would say like a cortical override to Olympic instinct."
242.300,244.400,en-us,0.71210,,1," One of many that probably leads us astray."
245.300,245.500,en-us,0.88077,,1," Yeah."
246.600,248.000,en-us,0.92143,,1," There's like a"
248.000,251.100,en-us,0.92143,,2," step for as well, which is any given thing can be sped up."
252.600,268.000,en-us,0.84650,,2," I have a fast you think it can be done like whatever the speed the speed is being done. It can be done faster. But but you shouldn't speak things up until it's soft and until you try to delete it and optimize. Otherwise, you're speeding up. That's something that speeding up something that shouldn't exist as if so, and then the first thing is to automate it."
270.100,274.300,en-us,0.87098,,2," And I've gone backwards so many times where I've automated something sped it up."
275.400,276.500,en-us,0.75700,,2," Simplified it and then delete it."
277.500,279.500,en-us,0.80911,,2," And I got tired of doing that."
281.100,283.200,en-us,0.80051,,2," Why I've got this Mantra that is a very effective"
283.200,286.000,en-us,0.80051,,1," five-step process of works. Great."
287.000,292.400,en-us,0.85532,,1," Well when you were already automated deleting must be real painful. Yeah, if yeah, that's great. It's"
292.400,295.400,en-us,0.85532,,2," like it's like wow, I really wasted a lot of effort there. Yeah."
297.800,302.800,en-us,0.82337,,1," Done with the with the cluster in Memphis is incredible just in a hand well weeks."
303.400,307.100,en-us,0.86277,,2," Yeah, it's not working yet. So I want to pop the champagne corks."
307.500,313.900,en-us,0.87698,,2," In fact, I have a call in a few hours with the Memphis team."
315.700,318.500,en-us,0.97097,,2," Because we're having some power fluctuation issues."
321.800,322.200,en-us,0.70470,,1," So yes."
323.100,326.000,en-us,0.89353,,2," Yeah, it's kind of there's a when you do."
327.200,330.900,en-us,0.92120,,2," Synchronize training when you've all these computers that are training."
332.000,334.100,en-us,0.82274,,2," that where the training is synchronized to"
335.200,335.700,en-us,0.58521,,2," I can level."
336.500,337.200,en-us,0.84756,,2," you"
338.400,347.000,en-us,0.87077,,2," it's like having an orchestra and then the orchestra can go loud to silence very quickly, you know it subsequent."
348.000,354.400,en-us,0.83137,,2," And then the electrical system kind of freaks out about that. Like if you suddenly see giant shifts 10 20 megawatts."
355.500,360.500,en-us,0.87000,,2," So several times a second the this is not what electrical systems are expecting to see"
360.500,372.900,en-us,0.87000,,1," so that's one of the main things you have to figure out the cooling the power the and then on the software as you go up the stack to do. Yeah, the distributed compute all that today's"
372.900,373.600,en-us,0.87000,,2," problem is dealing with"
373.600,374.500,en-us,0.87000,,1," with"
375.400,376.200,en-us,0.69991,,2," power Jitter"
377.100,378.400,en-us,0.92390,,2," power Jitter. Yeah"
378.400,385.300,en-us,0.92390,,1," a nice ring to that. So that's okay and you stayed up late into the night as you often do"
385.300,387.700,en-us,0.92390,,2," their last weekend last week."
389.300,397.000,en-us,0.74574,,2," Yeah there we finally finally got it to go training going at Allina roughly for 4:20 a.m. Last Monday."
398.700,406.900,en-us,0.80067,,1," Total coincidence. Yeah, I mean remove the 422. Yeah, is that Universe again with you? Just love it. I mean"
407.100,407.900,en-us,0.96646,,1," Yeah, I wonder if you could speak."
409.200,419.800,en-us,0.93862,,1," One of the things that you did when I was there as you went through all the steps of whatever he's doing just get the sense that you yourself understand it and everybody."
420.700,426.800,en-us,0.78327,,1," Understands it so they can understand when something is dumb or something. Something is inefficient or that yeah. Can you speak to that?"
427.600,434.100,en-us,0.86281,,2," yeah, so I like I try to do whatever the people at the front lines are doing I tried to do it at least a few times myself, so"
434.800,443.700,en-us,0.75077,,2," King Fiber Optic Cables diagnosing a Pulte connection, but that tends to be the limiting factor for launch training clusters is the caveling."
444.800,445.300,en-us,0.74303,,2," so many cables"
446.700,450.900,en-us,0.85199,,2," um because for for coherence of training system where you've got"
452.300,457.600,en-us,0.90770,,2," RDMA so remote direct memory access the whole thing is like one giant brain."
458.300,459.100,en-us,0.95780,,2," So if you've got"
461.900,468.800,en-us,0.94363,,2," any to any connection, so it's the any GPU can talk to any GPU out of 100,000."
470.700,472.600,en-us,0.85220,,2," That was a crazy cable layout."
474.100,476.200,en-us,0.92165,,2," It looks pretty cool. Yeah, it's like"
476.200,482.300,en-us,0.92165,,1," it's like the human brain but like at a scale that humans can visibly see it is. Yeah, right."
482.300,485.600,en-us,0.92165,,2," I mean here in brain also has a massive amount of the"
486.200,487.700,en-us,0.83681,,2," brain tissue is the cables."
487.700,489.400,en-us,0.83681,,1," Yeah. So"
489.400,497.200,en-us,0.83681,,2," look at the gray matter, which is the computer and then the white matter which is cables big percentage of your brain is just capables that's"
497.200,502.100,en-us,0.83681,,1," like walking around in the super computer center is like walking around inside the brain"
502.800,503.100,en-us,0.53844,,1," Yeah, well."
504.100,505.500,en-us,0.90823,,1," one day build a super intelligent"
506.700,507.800,en-us,0.70052,,1," So super super intelligence system."
